Period,Altman Z-Score,Springate Score,Ohlson O-score,Zmijewski Score
1,11.67595522,36.66393402,-4.301169883,-7.450345862
2,19.92805369,50.44409627,-4.677799848,-7.854158337
3,40.27375617,206.5081435,-4.667374229,-7.711393524
4,17.37799526,35.88875958,-4.514319027,-7.619236058
5,25.01760845,19.3344146,-4.740635927,-7.894644955
6,13.58472002,33.39731897,-4.362562713,-7.461407252
7,10.56103433,32.14032449,-4.40634963,-7.521544391
8,25.28562224,16.27843336,-4.861958912,-7.985671274
9,54.90495144,22.73526318,-4.906417786,-7.949943196
10,20.95262256,10.99107849,-4.864248382,-7.929214317
11,32.34117903,44.63800609,-4.802471234,-7.982054669
12,35.70284284,51.94113122,-4.813817579,-7.944056632
13,18.644443,26.71172672,-4.738269688,-7.911494378
14,26.20570001,23.58612283,-4.81353848,-7.890732374
15,35.41934214,35.25566336,-4.891020719,-8.012700077
16,29.09753215,23.80026206,-4.866213825,-7.989765639
17,78.07066691,161.2021906,-4.827956104,-7.979796858
18,41.66021561,28.07702671,-4.943440187,-8.047719333
19,17.55501874,15.58102871,-4.763746484,-7.927202621
20,39.82542177,28.89924333,-4.883498613,-7.939405118
21,38.84779725,66.99680469,-4.834434149,-7.942116413
22,29.50905045,20.34495582,-4.957693813,-7.982731598
23,18.9675276,26.75308865,-4.761607376,-7.936028131
24,16.00301317,38.88098787,-4.616889114,-7.841072922
25,11.67146585,18.33468968,-4.642103483,-7.863050325
26,25.70544087,76.27674933,-4.662365396,-7.773099173
27,33.77447644,30.6637426,-4.799644071,-7.981428732
28,92.48831582,24.79064646,-5.010391941,-8.075287252
29,34.98029911,32.94583848,-4.898513812,-7.978380912
30,8.144666349,15.60736862,-4.384995055,-7.575305307
31,13.50280743,49.12124594,-4.402901819,-7.713791619
32,12.21048929,31.2543948,-4.523029448,-7.806390734
33,22.9060234,16.14903479,-4.833477941,-7.976093669
34,52.10213915,24.9442098,-4.866871375,-7.945643371
35,19.76611779,9.862417278,-4.858317358,-7.92266756
36,27.23688208,47.84941551,-4.780826969,-7.960427888
37,23.00689678,50.03977188,-4.697304673,-7.82976198
38,19.01478715,32.23464242,-4.761215533,-7.88485549
39,29.97258242,24.83952837,-4.86655319,-7.913357125
40,40.02326867,39.11550146,-4.864019843,-7.933208559
41,24.380687,27.77723564,-4.821363951,-7.982472017
42,71.94076627,160.537249,-4.818452677,-7.982102663
43,37.55836424,31.27664598,-4.893679763,-7.986047614
44,18.5044431,15.30298619,-4.769229087,-7.974416611
45,32.65408074,26.62161461,-4.858655126,-7.95738265
46,39.74673076,70.0065677,-4.823939816,-7.952094906
47,29.55664579,18.73052535,-4.950732049,-7.981201429
48,19.71732713,25.56481001,-4.770834811,-7.943226429
49,16.41007452,44.29714203,-4.595837718,-7.836466215
50,12.96752004,20.78719985,-4.651917224,-7.8725844
51,23.74981704,68.59454452,-4.658306102,-7.836397445
52,34.23680213,31.66435149,-4.788646259,-7.974173328
53,61.72403788,25.53238722,-4.946351151,-7.993169716
54,33.81306323,34.62466293,-4.863939624,-7.965781664
55,18.98846508,75.05888436,-4.502742107,-7.716751242
56,8.913766439,23.57833963,-4.365475851,-7.712667535
57,3.553137718,11.44104019,-3.180418167,-5.989442216
58,8.886627177,21.9391287,-4.329703172,-7.553083601
59,11.84351248,27.7339173,-4.580639979,-7.823304593
60,18.13064766,15.19905125,-4.759216369,-7.920042188
61,78.99697133,26.57631513,-4.910259522,-7.926020379
62,19.47451647,10.00716753,-4.853771501,-7.846704784
63,27.86842289,45.96995186,-4.770923946,-7.926201803
64,19.30837386,38.26737235,-4.72942087,-7.904348684
65,17.94470591,34.07253375,-4.685785785,-7.843927084
66,28.43940917,24.1142873,-4.898196734,-7.919715649
67,36.02294729,36.08884368,-4.809030466,-7.854336654
68,25.88573932,28.73419487,-4.848065713,-7.95042562
69,72.36681211,150.5944407,-4.805560728,-7.947136953
70,20.19616832,24.04890445,-4.814168627,-7.913249931
71,27.16087485,12.81733379,-4.871729956,-8.044985855
72,36.62591986,24.18381009,-4.897143209,-8.009812271
73,39.48276263,74.34369299,-4.821657973,-7.943161301
74,32.54685782,18.25816077,-5.036736623,-8.030625398
75,22.24395595,25.32570475,-4.783222489,-7.971127969
76,15.95639914,39.20618439,-4.66871902,-7.839136
77,13.19320163,19.42928521,-4.658589689,-7.906344138
78,25.54410966,75.63260295,-4.674777686,-7.886679108
79,36.15845628,29.71645727,-4.863436216,-8.038876638
80,81.10292045,27.09847288,-5.056992325,-8.000281423
81,47.34025225,44.30594754,-4.913626887,-7.991065239
82,11.30103201,17.08839035,-4.606023023,-7.721704743
83,11.16008833,25.51746761,-4.556857437,-7.686980852
84,18.05740891,13.57442771,-4.757207849,-7.90164265
85,66.76511467,25.1845091,-4.939136474,-7.928103421
86,14.74378928,8.712734456,-4.781864626,-7.848395352
87,24.21394001,41.98279651,-4.762872625,-7.937959133
88,18.58963694,39.01846035,-4.660837245,-7.877001058
89,17.24756223,31.54187687,-4.727946041,-7.872606859
